project_type,discipline_scope,change_year,added_templates,removed_templates,previous_template_count,current_template_count
major_research_plan,B05,2011,,9{YY}10{SERIAL:03d};9{YY}23{SERIAL:03d},4,2
major_research_plan,B05,2014,9{YY}33{SERIAL:03d},9{YY}22{SERIAL:03d};9{YY}27{SERIAL:03d},2,1
major_research_plan,B05,2015,9{YY}27{SERIAL:03d},9{YY}33{SERIAL:03d},1,1
major_research_plan,B05,2016,9{YY}22{SERIAL:03d},9{YY}27{SERIAL:03d},1,1
major_research_plan,B05,2021,9{YY}56{SERIAL:03d};9{YY}61{SERIAL:03d};9{YY}63{SERIAL:03d},9{YY}22{SERIAL:03d},1,3
major_research_plan,B05_legacy_material_energy,2019,9{YY}45{SERIAL:03d};9{YY}61{SERIAL:03d};9{YY}63{SERIAL:03d},,1,4
major_research_plan,B05_legacy_material_energy,2020,,9{YY}45{SERIAL:03d};9{YY}63{SERIAL:03d},4,2
major_research_plan,B06,2010,9{YY}26{SERIAL:03d},9{YY}10{SERIAL:03d},1,1
major_research_plan,B06,2015,9{YY}43{SERIAL:03d},9{YY}26{SERIAL:03d},1,1
major_research_plan,B07,2006,9{YY}06{SERIAL:03d},9{YY}09{SERIAL:03d},1,1
major_research_plan,B07,2007,9{YY}13{SERIAL:03d},9{YY}06{SERIAL:03d},1,1
major_research_plan,B07,2009,9{YY}23{SERIAL:03d},,1,2
major_research_plan,B07,2010,,9{YY}23{SERIAL:03d},2,1
major_research_plan,B07,2015,9{YY}27{SERIAL:03d},9{YY}13{SERIAL:03d},1,1
major_research_plan,B07,2017,9{YY}53{SERIAL:03d},9{YY}27{SERIAL:03d},1,1
major_research_plan,B07,2018,9{YY}54{SERIAL:03d};9{YY}56{SERIAL:03d},,1,3
major_research_plan,B07,2019,9{YY}57{SERIAL:03d};9{YY}59{SERIAL:03d},9{YY}54{SERIAL:03d};9{YY}56{SERIAL:03d},3,3
major_research_plan,B07,2020,,9{YY}57{SERIAL:03d},3,2
major_research_plan,B08,2003,9{YY}05{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}10{SERIAL:03d},2,1
major_research_plan,B08,2004,9{YY}10{SERIAL:03d},9{YY}05{SERIAL:03d},1,1
major_research_plan,B08,2012,9{YY}33{SERIAL:03d},9{YY}10{SERIAL:03d},1,1
major_research_plan,B08,2013,9{YY}34{SERIAL:03d},9{YY}33{SERIAL:03d},1,1
major_research_plan,B08,2015,9{YY}45{SERIAL:03d},,1,2
