approval_year,discipline_scope,project_type,unique_projects
2003,B05,key,2
2003,B05,regional,2
2003,B05,special,3
2003,B05,youth_c,8
2003,B06,general,55
2003,B06,joint_fund,3
2003,B06,key,2
2003,B06,regional,4
2003,B06,special,4
2003,B06,youth_c,15
2003,B07,general,38
2003,B07,key,2
2003,B07,regional,7
2003,B07,special,2
2003,B07,youth_c,6
2003,B08,general,88
2003,B08,key,4
2003,B08,major_research_plan,1
2003,B08,regional,6
2003,B08,special,4
2003,B08,youth_c,31
2003,B09,general,1
2004,B01,general,125
2004,B01,key,6
2004,B01,major_research_plan,6
2004,B01,regional,7
2004,B01,special,13
2004,B01,youth_c,32
2004,B02,general,68
2004,B02,key,3
2004,B02,major_research_plan,2
2004,B02,regional,1
2004,B02,special,7
2004,B02,youth_c,17
2004,B03,general,94
2004,B03,key,5
2004,B03,major_research_plan,6
2004,B03,regional,4
2004,B03,special,10
2004,B03,youth_c,17
2004,B04,general,70
2004,B04,key,3
2004,B04,major_research_plan,7
2004,B04,regional,3
2004,B04,special,6
2004,B04,youth_c,18
2004,B05,general,39
2004,B05,key,2
2004,B05,major_research_plan,1
2004,B05,special,4
2004,B05,youth_c,9
2004,B06,general,66
2004,B06,key,2
2004,B06,regional,2
2004,B06,special,3
2004,B06,youth_c,18
2004,B07,general,39
2004,B07,key,1
2004,B07,regional,3
2004,B07,special,2
2004,B07,youth_c,7
2004,B08,general,110
2004,B08,joint_fund,1
2004,B08,key,4
2004,B08,major_research_plan,2
2004,B08,regional,5
2004,B08,special,7
2004,B08,youth_c,24
2004,B09,general,3
2005,B01,general,161
2005,B01,key,11
2005,B01,regional,11
2005,B01,special,9
2005,B01,youth_c,39
2005,B02,general,76
2005,B02,major_research_plan,1
2005,B02,regional,3
2005,B02,special,6
2005,B02,youth_c,22
2005,B03,general,105
2005,B03,key,9
2005,B03,regional,3
2005,B03,special,6
2005,B03,youth_c,30
2005,B04,general,85
2005,B04,key,2
2005,B04,regional,4
2005,B04,special,5
2005,B04,youth_c,20
2005,B05,general,49
2005,B05,key,3
2005,B05,regional,1
2005,B05,special,2
2005,B05,youth_c,13
2005,B06,general,78
2005,B06,key,2
2005,B06,regional,5
2005,B06,special,1
2005,B06,youth_c,27
2005,B07,general,47
2005,B07,key,1
2005,B07,regional,8
2005,B07,special,2
2005,B07,youth_c,17
2005,B08,general,140
2005,B08,key,5
2005,B08,major_research_plan,2
2005,B08,regional,4
2005,B08,special,5
2005,B08,youth_c,27
2005,B09,general,3
2006,B01,general,171
2006,B01,key,13
2006,B01,major_research_plan,4
2006,B01,regional,7
2006,B01,special,15
2006,B01,youth_c,47
2006,B02,general,82
2006,B02,key,5
2006,B02,major_research_plan,2
2006,B02,regional,7
2006,B02,special,5
2006,B02,youth_c,35
2006,B03,general,109
2006,B03,key,6
2006,B03,major_research_plan,4
2006,B03,special,12
2006,B03,youth_c,38
2006,B04,general,96
2006,B04,key,6
2006,B04,major_research_plan,4
2006,B04,regional,4
2006,B04,special,11
2006,B04,youth_c,27
2006,B05,general,53
2006,B05,joint_fund,1
2006,B05,key,1
2006,B05,major_research_plan,2
2006,B05,regional,1
2006,B05,special,5
2006,B05,youth_c,15
2006,B06,general,86
2006,B06,key,4
2006,B06,major_research_plan,1
2006,B06,regional,4
2006,B06,special,3
2006,B06,youth_c,33
2006,B07,general,60
2006,B07,key,1
2006,B07,major_research_plan,1
2006,B07,regional,8
2006,B07,special,1
2006,B07,youth_c,18
2006,B08,general,159
2006,B08,joint_fund,1
2006,B08,key,6
2006,B08,major_research_plan,4
2006,B08,regional,6
2006,B08,special,4
2006,B08,youth_c,37
2006,B09,general,3
2006,B09,youth_c,1
2007,B01,general,197
2007,B01,key,13
2007,B01,major_research_plan,2
2007,B01,regional,12
2007,B01,special,15
2007,B01,youth_c,87
2007,B02,general,101
2007,B02,joint_fund,1
2007,B02,key,1
2007,B02,regional,8
2007,B02,special,4
2007,B02,youth_c,37
2007,B03,general,129
2007,B03,joint_fund,3
2007,B03,key,10
2007,B03,regional,1
2007,B03,special,8
2007,B03,youth_c,57
2007,B04,general,95
2007,B04,key,5
2007,B04,major_research_plan,14
2007,B04,regional,5
2007,B04,special,9
2007,B04,youth_c,38
2007,B05,general,59
2007,B05,regional,1
2007,B05,special,4
2007,B05,youth_c,24
2007,B06,general,100
2007,B06,key,3
2007,B06,regional,6
2007,B06,special,4
2007,B06,youth_c,42
2007,B07,general,48
2007,B07,key,2
2007,B07,major_research_plan,14
2007,B07,regional,10
2007,B07,special,2
2007,B07,youth_c,12
2007,B08,general,166
2007,B08,joint_fund,4
2007,B08,key,8
2007,B08,regional,6
2007,B08,special,3
2007,B08,youth_c,61
2007,B09,general,5
2008,B01,general,209
2008,B01,key,14
2008,B01,major_research_plan,1
2008,B01,regional,16
2008,B01,special,18
2008,B01,youth_c,105
2008,B02,general,89
2008,B02,key,4
2008,B02,regional,5
2008,B02,special,7
2008,B02,youth_c,55
2008,B03,general,116
2008,B03,key,10
2008,B03,regional,3
2008,B03,special,10
2008,B03,youth_c,48
2008,B04,general,111
2008,B04,key,5
2008,B04,major_research_plan,8
2008,B04,regional,6
2008,B04,special,13
2008,B04,youth_c,65
2008,B05,general,73
2008,B05,key,3
2008,B05,regional,3
2008,B05,special,6
2008,B05,youth_c,42
2008,B06,general,112
2008,B06,key,4
2008,B06,regional,5
2008,B06,special,3
2008,B06,youth_c,62
2008,B07,general,90
2008,B07,key,2
2008,B07,major_research_plan,13
2008,B07,regional,11
2008,B07,special,7
2008,B07,youth_c,42
2008,B08,general,187
2008,B08,joint_fund,1
2008,B08,key,9
2008,B08,regional,11
2008,B08,special,5
2008,B08,youth_c,99
2008,B09,general,14
2008,B09,special,1
2008,B09,youth_c,11
2009,B01,general,253
2009,B01,key,11
2009,B01,major_research_plan,16
2009,B01,regional,18
2009,B01,special,19
2009,B01,youth_c,132
2009,B02,general,101
2009,B02,key,2
2009,B02,major_research_plan,2
2009,B02,regional,9
2009,B02,special,6
2009,B02,youth_c,55
2009,B03,general,129
2009,B03,key,13
2009,B03,major_research_plan,5
2009,B03,regional,3
2009,B03,special,10
2009,B03,youth_c,74
2009,B04,general,120
2009,B04,key,5
2009,B04,major_research_plan,6
2009,B04,regional,11
2009,B04,special,15
2009,B04,youth_c,84
2009,B05,general,80
2009,B05,key,1
2009,B05,major_research_plan,6
2009,B05,regional,5
2009,B05,special,7
2009,B05,youth_c,59
2009,B06,general,123
2009,B06,key,4
2009,B06,regional,7
2009,B06,special,4
2009,B06,youth_c,79
2009,B07,general,83
2009,B07,key,4
2009,B07,major_research_plan,13
2009,B07,regional,12
2009,B07,special,7
2009,B07,youth_c,49
2009,B08,general,205
2009,B08,key,8
2009,B08,regional,11
2009,B08,special,7
2009,B08,youth_c,109
2009,B09,general,8
2009,B09,special,1
2009,B09,youth_c,10
2010,B01,general,296
2010,B01,key,10
2010,B01,major_research_plan,36
2010,B01,regional,33
2010,B01,special,24
2010,B01,youth_c,159
2010,B02,general,127
2010,B02,key,6
2010,B02,major_research_plan,13
2010,B02,regional,10
2010,B02,special,9
2010,B02,youth_c,80
2010,B03,general,138
2010,B03,key,4
2010,B03,major_research_plan,14
2010,B03,regional,6
2010,B03,special,14
2010,B03,youth_c,97
2010,B04,general,147
2010,B04,key,6
2010,B04,major_research_plan,6
2010,B04,regional,12
2010,B04,special,22
2010,B04,youth_c,95
2010,B05,general,104
2010,B05,key,7
2010,B05,major_research_plan,7
2010,B05,regional,10
2010,B05,special,6
2010,B05,youth_c,76
2010,B06,general,145
2010,B06,key,4
2010,B06,major_research_plan,1
2010,B06,regional,14
2010,B06,special,11
2010,B06,youth_c,95
2010,B07,general,91
2010,B07,key,2
2010,B07,major_research_plan,9
2010,B07,regional,12
2010,B07,special,7
2010,B07,youth_c,63
2010,B08,general,236
2010,B08,key,9
2010,B08,regional,15
2010,B08,special,14
2010,B08,youth_c,133
2010,B09,general,13
2010,B09,major_research_plan,1
2010,B09,regional,2
2010,B09,special,1
2010,B09,youth_c,9
2011,B01,general,329
2011,B01,key,10
2011,B01,major_research_plan,38
2011,B01,regional,40
2011,B01,special,19
2011,B01,youth_c,224
2011,B02,general,139
2011,B02,key,3
2011,B02,major_research_plan,10
2011,B02,regional,20
2011,B02,special,7
2011,B02,youth_c,117
2011,B03,general,168
2011,B03,key,7
2011,B03,major_research_plan,12
2011,B03,regional,6
2011,B03,special,14
2011,B03,youth_c,139
2011,B04,general,171
2011,B04,key,6
2011,B04,major_research_plan,6
2011,B04,regional,22
2011,B04,special,19
2011,B04,youth_c,146
2011,B05,general,117
2011,B05,key,6
2011,B05,major_research_plan,13
2011,B05,regional,13
2011,B05,special,6
2011,B05,youth_c,85
2011,B06,general,170
2011,B06,key,4
2011,B06,major_research_plan,3
2011,B06,regional,18
2011,B06,special,8
2011,B06,youth_c,154
2011,B07,general,107
2011,B07,key,6
2011,B07,major_research_plan,1
2011,B07,regional,27
2011,B07,special,12
2011,B07,youth_c,88
2011,B08,general,276
2011,B08,joint_fund,37
2011,B08,key,9
2011,B08,regional,25
2011,B08,special,16
2011,B08,youth_c,195
2011,B09,general,12
2011,B09,major_research_plan,1
2011,B09,regional,1
2011,B09,youth_c,16
2012,B01,general,335
2012,B01,joint_fund,4
2012,B01,key,11
2012,B01,major_research_plan,18
2012,B01,regional,53
2012,B01,special,35
2012,B01,youth_c,252
2012,B02,general,159
2012,B02,joint_fund,1
2012,B02,key,5
2012,B02,major_research_plan,2
2012,B02,regional,17
2012,B02,special,9
2012,B02,youth_c,129
2012,B03,general,162
2012,B03,joint_fund,3
2012,B03,key,11
2012,B03,major_research_plan,15
2012,B03,regional,15
2012,B03,special,10
2012,B03,youth_c,158
2012,B04,general,177
2012,B04,joint_fund,1
2012,B04,key,7
2012,B04,major_research_plan,3
2012,B04,regional,25
2012,B04,special,15
2012,B04,youth_c,154
2012,B05,general,116
2012,B05,joint_fund,3
2012,B05,key,3
2012,B05,major_research_plan,5
2012,B05,regional,14
2012,B05,special,10
2012,B05,youth_c,99
2012,B06,general,186
2012,B06,key,5
2012,B06,major_research_plan,6
2012,B06,regional,25
2012,B06,special,11
2012,B06,youth_c,173
2012,B07,general,136
2012,B07,joint_fund,2
2012,B07,key,4
2012,B07,major_research_plan,1
2012,B07,regional,21
2012,B07,special,9
2012,B07,youth_c,84
2012,B08,general,291
2012,B08,joint_fund,1
2012,B08,key,9
2012,B08,major_research_plan,1
2012,B08,regional,31
2012,B08,special,16
2012,B08,youth_c,202
2012,B09,general,21
2012,B09,regional,4
2012,B09,special,1
2012,B09,youth_c,17
2013,B01,general,314
2013,B01,joint_fund,2
2013,B01,key,15
2013,B01,major_research_plan,4
2013,B01,regional,47
2013,B01,special,28
2013,B01,youth_c,285
2013,B02,general,128
2013,B02,joint_fund,3
2013,B02,key,4
2013,B02,major_research_plan,2
2013,B02,regional,15
2013,B02,special,9
2013,B02,youth_c,157
2013,B03,general,178
2013,B03,joint_fund,1
2013,B03,key,9
2013,B03,major_research_plan,4
2013,B03,regional,16
2013,B03,special,17
2013,B03,youth_c,148
2013,B04,general,158
2013,B04,joint_fund,2
2013,B04,key,7
2013,B04,major_research_plan,1
2013,B04,regional,25
2013,B04,special,16
