candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,original_priority,followup_priority,existence_status,confirmed_sources,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,next_action,official_confirmation_status,warning
21973019,B,2019,general,B03,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""21973019""","""21973019"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21973019""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51302176,E,2013,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51302176""","""51302176"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51302176""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51302192,E,2013,youth_c,E02,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51302192""","""51302192"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51302192""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51302240,E,2013,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51302240""","""51302240"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51302240""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51303042,E,2013,youth_c,E03,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51303042""","""51303042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51303042""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51303119,E,2013,youth_c,E03,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51303119""","""51303119"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51303119""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51173050,E,2011,general,E03,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51173050""","""51173050"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51173050""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51173172,E,2011,general,E03,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51173172""","""51173172"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51173172""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
22007002,B,2020,youth_c,B07,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""22007002""","""22007002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22007002""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
52008101,E,2020,youth_c,E08,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""52008101""","""52008101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52008101""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
