approval_year,discipline_scope,project_type,unique_projects
2003,E03,special,6
2003,E03,youth_c,20
2003,E04,general,65
2003,E04,joint_fund,23
2003,E04,key,5
2003,E04,regional,4
2003,E04,special,7
2003,E04,youth_c,14
2003,E05,general,164
2003,E05,joint_fund,1
2003,E05,key,5
2003,E05,major_research_plan,1
2003,E05,regional,3
2003,E05,special,5
2003,E05,youth_c,37
2003,E06,general,76
2003,E06,joint_fund,3
2003,E06,key,5
2003,E06,major_research_plan,3
2003,E06,regional,2
2003,E06,special,7
2003,E06,youth_c,26
2003,E07,general,46
2003,E07,joint_fund,1
2003,E07,key,2
2003,E07,major_research_plan,1
2003,E07,regional,1
2003,E07,special,7
2003,E07,youth_c,15
2003,E08,general,75
2003,E08,joint_fund,2
2003,E08,key,4
2003,E08,regional,1
2003,E08,special,6
2003,E08,youth_c,22
2003,E09,general,41
2003,E09,joint_fund,9
2003,E09,key,2
2003,E09,major_research_plan,1
2003,E09,regional,2
2003,E09,special,1
2003,E09,youth_c,15
2003,E10,general,27
2003,E10,key,1
2003,E10,regional,1
2003,E10,special,3
2003,E10,youth_c,10
2003,E11,general,6
2003,E11,regional,1
2003,E11,youth_c,1
2004,E01,general,104
2004,E01,joint_fund,6
2004,E01,key,3
2004,E01,major_research_plan,1
2004,E01,regional,4
2004,E01,special,5
2004,E01,youth_c,23
2004,E02,general,104
2004,E02,key,5
2004,E02,major_research_plan,12
2004,E02,special,8
2004,E02,youth_c,26
2004,E03,general,64
2004,E03,key,4
2004,E03,major_research_plan,6
2004,E03,regional,2
2004,E03,special,4
2004,E03,youth_c,29
2004,E04,general,78
2004,E04,joint_fund,17
2004,E04,key,4
2004,E04,major_research_plan,5
2004,E04,regional,5
2004,E04,special,6
2004,E04,youth_c,18
2004,E05,general,185
2004,E05,joint_fund,1
2004,E05,key,3
2004,E05,major_research_plan,1
2004,E05,regional,3
2004,E05,special,10
2004,E05,youth_c,47
2004,E06,general,91
2004,E06,joint_fund,1
2004,E06,key,4
2004,E06,major_research_plan,5
2004,E06,regional,1
2004,E06,special,7
2004,E06,youth_c,28
2004,E07,general,56
2004,E07,key,3
2004,E07,major_research_plan,1
2004,E07,regional,3
2004,E07,special,4
2004,E07,youth_c,17
2004,E08,general,95
2004,E08,joint_fund,4
2004,E08,key,2
2004,E08,regional,5
2004,E08,special,4
2004,E08,youth_c,31
2004,E09,general,52
2004,E09,joint_fund,8
2004,E09,major_research_plan,4
2004,E09,regional,3
2004,E09,special,4
2004,E09,youth_c,13
2004,E10,general,34
2004,E10,joint_fund,2
2004,E10,special,2
2004,E10,youth_c,8
2004,E11,general,7
2004,E11,key,1
2004,E11,special,1
2004,E11,youth_c,2
2005,E01,general,110
2005,E01,joint_fund,5
2005,E01,key,6
2005,E01,regional,4
2005,E01,special,5
2005,E01,youth_c,22
2005,E02,general,127
2005,E02,key,10
2005,E02,major_research_plan,4
2005,E02,regional,3
2005,E02,special,10
2005,E02,youth_c,39
2005,E03,general,94
2005,E03,key,8
2005,E03,major_research_plan,5
2005,E03,regional,2
2005,E03,special,5
2005,E03,youth_c,25
2005,E04,general,98
2005,E04,joint_fund,12
2005,E04,key,8
2005,E04,major_research_plan,3
2005,E04,regional,6
2005,E04,special,9
2005,E04,youth_c,21
2005,E05,general,233
2005,E05,key,5
2005,E05,regional,4
2005,E05,special,9
2005,E05,youth_c,50
2005,E06,general,107
2005,E06,joint_fund,1
2005,E06,key,4
2005,E06,major_research_plan,4
2005,E06,regional,1
2005,E06,special,8
2005,E06,youth_c,32
2005,E07,general,75
2005,E07,key,5
2005,E07,major_research_plan,2
2005,E07,regional,1
2005,E07,special,1
2005,E07,youth_c,20
2005,E08,general,131
2005,E08,joint_fund,5
2005,E08,key,8
2005,E08,regional,3
2005,E08,special,7
2005,E08,youth_c,35
2005,E09,general,67
2005,E09,joint_fund,35
2005,E09,key,1
2005,E09,major_research_plan,4
2005,E09,regional,3
2005,E09,special,2
2005,E09,youth_c,17
2005,E10,general,45
2005,E10,key,1
2005,E10,major_research_plan,1
2005,E10,regional,2
2005,E10,special,1
2005,E10,youth_c,16
2005,E11,general,7
2005,E11,youth_c,5
2006,E01,general,119
2006,E01,joint_fund,3
2006,E01,key,4
2006,E01,regional,5
2006,E01,special,5
2006,E01,youth_c,29
2006,E02,general,136
2006,E02,joint_fund,2
2006,E02,key,7
2006,E02,major_research_plan,8
2006,E02,regional,6
2006,E02,special,10
2006,E02,youth_c,50
2006,E03,general,104
2006,E03,joint_fund,2
2006,E03,key,5
2006,E03,regional,3
2006,E03,special,3
2006,E03,youth_c,32
2006,E04,general,105
2006,E04,joint_fund,8
2006,E04,key,4
2006,E04,major_research_plan,4
2006,E04,regional,8
2006,E04,special,8
2006,E04,youth_c,22
2006,E05,general,234
2006,E05,joint_fund,2
2006,E05,key,6
2006,E05,major_research_plan,1
2006,E05,regional,5
2006,E05,special,12
2006,E05,youth_c,66
2006,E06,general,113
2006,E06,joint_fund,1
2006,E06,key,5
2006,E06,major_research_plan,10
2006,E06,regional,1
2006,E06,special,7
2006,E06,youth_c,38
2006,E07,general,73
2006,E07,key,2
2006,E07,major_research_plan,2
2006,E07,regional,2
2006,E07,special,4
2006,E07,youth_c,23
2006,E08,general,138
2006,E08,key,4
2006,E08,regional,3
2006,E08,special,4
2006,E08,youth_c,53
2006,E09,general,73
2006,E09,joint_fund,11
2006,E09,key,4
2006,E09,major_research_plan,3
2006,E09,regional,5
2006,E09,special,2
2006,E09,youth_c,26
2006,E10,general,54
2006,E10,joint_fund,4
2006,E10,key,1
2006,E10,major_research_plan,2
2006,E10,regional,2
2006,E10,youth_c,21
2006,E11,general,5
2006,E11,youth_c,4
2007,E01,general,106
2007,E01,joint_fund,7
2007,E01,key,8
2007,E01,regional,7
2007,E01,special,7
2007,E01,youth_c,48
2007,E02,general,136
2007,E02,joint_fund,6
2007,E02,key,11
2007,E02,major_research_plan,5
2007,E02,regional,6
2007,E02,special,9
2007,E02,youth_c,80
2007,E03,general,97
2007,E03,key,4
2007,E03,major_research_plan,4
2007,E03,regional,6
2007,E03,special,7
2007,E03,youth_c,48
2007,E04,general,107
2007,E04,joint_fund,9
2007,E04,key,4
2007,E04,regional,9
2007,E04,special,5
2007,E04,youth_c,41
2007,E05,general,228
2007,E05,joint_fund,2
2007,E05,key,11
2007,E05,regional,8
2007,E05,special,13
2007,E05,youth_c,100
2007,E06,general,102
2007,E06,key,8
2007,E06,major_research_plan,1
2007,E06,regional,2
2007,E06,special,7
2007,E06,youth_c,58
2007,E07,general,71
2007,E07,key,4
2007,E07,major_research_plan,1
2007,E07,regional,3
2007,E07,special,6
2007,E07,youth_c,36
2007,E08,general,143
2007,E08,key,6
2007,E08,major_research_plan,33
2007,E08,regional,9
2007,E08,special,4
2007,E08,youth_c,84
2007,E09,general,70
2007,E09,key,3
2007,E09,major_research_plan,5
2007,E09,regional,8
2007,E09,special,5
2007,E09,youth_c,33
2007,E10,general,49
2007,E10,key,1
2007,E10,regional,1
2007,E10,special,4
2007,E10,youth_c,42
2007,E11,general,6
2007,E11,key,1
2007,E11,youth_c,4
2008,E01,general,126
2008,E01,joint_fund,5
2008,E01,key,7
2008,E01,major_research_plan,1
2008,E01,regional,8
2008,E01,special,7
2008,E01,youth_c,70
2008,E02,general,160
2008,E02,key,10
2008,E02,major_research_plan,3
2008,E02,regional,9
2008,E02,special,11
2008,E02,youth_c,119
2008,E03,general,116
2008,E03,key,11
2008,E03,major_research_plan,1
2008,E03,regional,5
2008,E03,special,8
2008,E03,youth_c,73
2008,E04,general,126
2008,E04,joint_fund,13
2008,E04,key,7
2008,E04,regional,11
2008,E04,special,7
2008,E04,youth_c,61
2008,E05,general,272
2008,E05,key,11
2008,E05,regional,11
2008,E05,special,17
2008,E05,youth_c,150
2008,E06,general,119
2008,E06,joint_fund,1
2008,E06,key,7
2008,E06,major_research_plan,2
2008,E06,regional,3
2008,E06,special,8
2008,E06,youth_c,85
2008,E07,general,83
2008,E07,key,5
2008,E07,regional,4
2008,E07,special,4
2008,E07,youth_c,57
2008,E08,general,171
2008,E08,key,8
2008,E08,major_research_plan,27
2008,E08,regional,11
2008,E08,special,11
2008,E08,youth_c,145
2008,E09,general,71
2008,E09,key,5
2008,E09,major_research_plan,3
2008,E09,regional,8
2008,E09,special,9
2008,E09,youth_c,56
2008,E10,general,61
2008,E10,key,4
2008,E10,regional,2
2008,E10,special,2
2008,E10,youth_c,55
2008,E11,general,14
2008,E11,key,1
2008,E11,special,1
2008,E11,youth_c,12
2009,E01,general,135
2009,E01,joint_fund,1
2009,E01,key,6
2009,E01,major_research_plan,1
2009,E01,regional,10
2009,E01,special,7
2009,E01,youth_c,90
2009,E02,general,170
2009,E02,key,7
2009,E02,major_research_plan,13
2009,E02,regional,11
2009,E02,special,10
2009,E02,youth_c,150
2009,E03,general,129
2009,E03,key,9
2009,E03,major_research_plan,2
2009,E03,regional,6
2009,E03,special,7
2009,E03,youth_c,96
2009,E04,general,142
2009,E04,joint_fund,14
2009,E04,key,6
2009,E04,major_research_plan,1
2009,E04,regional,14
2009,E04,special,15
2009,E04,youth_c,83
2009,E05,general,303
2009,E05,key,9
2009,E05,major_research_plan,24
2009,E05,regional,17
2009,E05,special,12
2009,E05,youth_c,192
2009,E06,general,130
2009,E06,key,9
2009,E06,major_research_plan,2
2009,E06,regional,4
2009,E06,special,5
2009,E06,youth_c,102
2009,E07,general,94
2009,E07,key,5
2009,E07,regional,4
2009,E07,special,5
2009,E07,youth_c,76
2009,E08,general,199
2009,E08,key,5
2009,E08,major_research_plan,11
2009,E08,regional,15
2009,E08,special,5
2009,E08,youth_c,183
2009,E09,general,79
2009,E09,key,3
2009,E09,major_research_plan,1
2009,E09,regional,8
2009,E09,special,4
2009,E09,youth_c,68
2009,E10,general,79
2009,E10,key,4
2009,E10,regional,4
2009,E10,special,2
2009,E10,youth_c,78
2009,E11,general,24
2009,E11,key,2
2009,E11,special,1
2009,E11,youth_c,27
2010,E01,general,182
2010,E01,key,4
2010,E01,major_research_plan,3
2010,E01,regional,16
2010,E01,special,15
2010,E01,youth_c,120
2010,E02,general,239
2010,E02,key,8
2010,E02,major_research_plan,17
2010,E02,regional,18
2010,E02,special,14
2010,E02,youth_c,194
2010,E03,general,179
2010,E03,key,7
2010,E03,major_research_plan,4
2010,E03,regional,9
2010,E03,special,13
2010,E03,youth_c,124
2010,E04,general,202
2010,E04,joint_fund,15
2010,E04,key,7
2010,E04,major_research_plan,2
2010,E04,regional,22
2010,E04,special,21
2010,E04,youth_c,119
2010,E05,general,420
2010,E05,key,8
2010,E05,major_research_plan,30
2010,E05,regional,28
2010,E05,special,18
2010,E05,youth_c,263
2010,E06,general,173
2010,E06,key,7
2010,E06,major_research_plan,12
2010,E06,regional,8
2010,E06,special,15
2010,E06,youth_c,129
2010,E07,general,139
