segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1991|special|E01|59181|3,1,1,8,8,59181001,59181008
1991|special|E02|59142|3,1,6,6,1,59142006,59142006
1991|special|E02|59182|3,1,9,14,6,59182009,59182014
1991|special|E03|59183|3,1,15,19,5,59183015,59183019
1991|special|E05|59145|3,1,5,5,1,59145005,59145005
1991|special|E05|59185|3,1,20,24,5,59185020,59185024
1991|special|E06|59186|3,1,25,26,2,59186025,59186026
1991|special|E07|59187|3,1,27,27,1,59187027,59187027
1991|special|E08|59148|3,1,3,3,1,59148003,59148003
1991|special|E09|59149|3,1,1,2,2,59149001,59149002
1991|special|E09|59159|3,1,1,1,1,59159001,59159001
1991|youth_c|E01|59101|3,1,1,13,13,59101001,59101013
1991|youth_c|E02|59102|3,1,14,19,6,59102014,59102019
1991|youth_c|E03|59103|3,1,20,23,4,59103020,59103023
1991|youth_c|E04|59104|3,1,24,27,4,59104024,59104027
1991|youth_c|E05|59105|3,1,28,41,14,59105028,59105041
1991|youth_c|E06|59106|3,1,42,50,9,59106042,59106050
1991|youth_c|E07|59107|3,1,51,55,5,59107051,59107055
1991|youth_c|E08|59108|3,1,56,59,4,59108056,59108059
1991|youth_c|E08|59108|3,2,62,69,8,59108062,59108069
1991|youth_c|E09|59109|3,1,70,74,5,59109070,59109074
1991|youth_c|E09|59109|3,2,76,77,2,59109076,59109077
1991|youth_c|E10|59108|3,1,60,61,2,59108060,59108061
1991|youth_c|E10|59109|3,1,75,75,1,59109075,59109075
1992|general|E01|59271|3,1,1,63,63,59271001,59271063
1992|general|E02|59272|3,1,64,75,12,59272064,59272075
1992|general|E02|59272|3,2,77,104,28,59272077,59272104
1992|general|E03|59273|3,1,105,131,27,59273105,59273131
1992|general|E04|59274|3,1,132,156,25,59274132,59274156
1992|general|E05|59275|3,1,157,244,88,59275157,59275244
1992|general|E06|59276|3,1,245,290,46,59276245,59276290
1992|general|E07|59277|3,1,291,311,21,59277291,59277311
